Judge: levim
https://www.youtube.com/watch?v=EYsRn9uwF_g
Time	Click
00:00:00	0
00:00:51	1
00:02:12	1
00:03:08	1
00:05:04	1
00:07:17	1
00:08:15	1
00:09:24	1
00:10:08	1
00:10:52	1
00:11:49	1
00:13:08	1
00:15:28	1
00:16:22	1
00:17:54	1
00:19:38	1
00:22:41	1
00:24:12	1
00:27:07	1
00:30:35	1
00:36:02	1
00:36:56	1
00:38:45	1
00:38:54	1
00:39:36	1
00:39:50	1
00:40:29	1
00:42:03	1
00:44:39	1
00:45:39	1
00:46:23	1
00:46:59	1
00:48:21	1
00:48:41	1
00:52:37	1
00:53:47	1
00:55:00	1
00:55:44	1
00:58:42	1
00:59:17	1
01:00:33	1
01:02:59	1
01:03:49	1
01:04:28	1
01:05:07	1
01:06:17	1
01:08:22	1
01:08:30	1
01:10:21	1
01:13:04	1
01:14:12	1
01:15:10	1
01:16:03	1
01:16:55	1
01:19:06	1
01:20:00	1
01:20:56	1
01:21:11	1
01:22:25	1
01:22:54	1
01:23:53	1
01:25:52	1
01:26:02	1
